wins,losses,draws,height_cm,weight_kg,reach_in_cm,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
7,2,0,195.58,120.2,182.88,17.65,58,5.29,72,0.0,0,0,17.65
6,1,0,167.64,56.7,170.18,17.1,60,6.52,68,0.0,0,100,17.1
7,2,0,162.56,61.23,172.72,14.48,31,20.69,41,0.0,0,0,14.48
8,1,0,180.34,65.77,177.8,13.6,64,13.13,59,2.0,66,100,13.6
7,2,0,172.72,65.77,177.8,13.13,40,13.6,35,0.0,0,33,13.13
8,3,0,170.18,61.23,170.18,13.0,65,4.0,63,0.0,0,0,13.0
4,1,0,167.64,65.77,182.88,12.29,57,6.8,45,0.0,0,75,12.29
5,0,1,175.26,56.7,180.34,12.27,45,11.2,42,1.0,50,100,12.27
7,0,0,187.96,77.11,200.66,12.15,57,5.32,61,0.0,0,0,12.15
3,8,0,172.72,61.23,182.88,12.12,80,2.31,69,0.0,0,0,12.12
8,0,0,185.42,77.11,185.42,11.67,67,9.13,54,1.0,14,0,11.67
8,1,0,177.8,70.31,185.42,11.57,53,4.34,62,0.0,0,0,11.57
3,1,0,170.18,56.7,172.72,11.2,57,12.27,54,0.0,0,50,11.2
8,2,0,182.88,70.31,182.88,11.03,54,5.42,60,0.0,0,100,11.03
9,1,0,187.96,77.11,190.5,11.01,48,7.39,58,0.0,0,0,11.01
5,2,0,182.88,92.99,182.88,10.56,59,10.56,13,0.0,0,0,10.56
5,1,0,175.26,70.31,180.34,10.37,46,11.69,44,0.0,0,100,10.37
9,2,0,177.8,77.11,182.88,10.22,46,4.3,64,4.04,40,100,10.22
17,4,0,187.96,92.99,182.88,10.22,61,0.13,92,3.98,100,0,10.22
12,13,1,172.72,77.11,182.88,10.0,100,10.0,0,0.0,0,0,10.0
7,2,1,175.26,70.31,177.8,9.87,41,11.4,54,0.0,0,100,9.87
8,0,0,170.18,56.7,175.26,9.85,55,4.86,47,9.85,100,0,9.85
9,2,0,182.88,70.31,182.88,9.77,49,6.28,60,0.0,0,50,9.77
6,0,0,177.8,61.23,177.8,9.67,51,5.07,50,0.0,0,94,9.67
14,2,0,177.8,70.31,185.42,9.66,58,3.76,56,0.0,0,100,9.66
